trip_id,date,start_time,end_time,source
trip_231,2040-06-01,09:00:00,21:00:00,government
trip_233,2040-06-12,07:54:00,07:54:00,government
trip_241,2040-06-26,08:56:00,08:56:00,government
trip_242,2040-07-19,08:23:00,09:02:00,government
trip_243,2040-04-03,09:00:00,21:00:00,government
trip_244,2040-06-19,09:00:00,21:37:00,government
trip_247,2040-05-07,07:36:00,07:36:00,government
trip_252,2040-04-10,09:36:00,10:45:00,government
trip_262,2040-05-10,09:20:00,09:20:00,government
trip_273,2040-05-13,09:00:00,21:00:00,government
trip_285,2040-07-07,08:25:00,11:02:00,government
trip_286,2040-05-22,09:00:00,21:39:00,government
trip_292,2040-07-26,08:40:00,11:34:00,government
trip_294,2040-07-24,09:00:00,21:00:00,government
trip_300,2040-07-23,07:30:00,10:04:00,government
trip_307,2040-07-11,09:00:00,21:00:00,government
trip_312,2040-04-10,09:00:00,21:00:00,government
trip_315,2040-05-15,09:00:00,21:53:00,government
trip_317,2040-04-27,09:12:00,09:12:00,government
trip_322,2040-06-23,09:00:00,21:00:00,government
trip_327,2040-07-02,07:07:00,07:07:00,government
trip_338,2040-07-17,09:00:00,21:52:00,government
trip_5,2040-07-24,09:00:00,21:00:00,government
trip_8,2040-06-26,09:00:00,21:00:00,government
trip_15,2040-04-24,09:00:00,21:00:00,government
trip_16,2040-04-08,09:00:00,21:00:00,government
trip_19,2040-04-10,09:00:00,21:00:00,government
trip_23,2040-07-10,09:00:00,21:00:00,government
trip_24,2040-04-07,11:00:00,21:00:00,government
trip_28,2040-05-10,09:00:00,21:00:00,government
trip_30,2040-05-17,09:00:00,21:00:00,government
trip_48,2040-06-27,09:00:00,21:00:00,government
trip_50,2040-08-01,09:24:00,09:57:00,government
trip_52,2040-07-11,09:00:00,21:00:00,government
trip_59,2040-05-27,11:00:00,21:00:00,government
trip_64,2040-06-05,09:00:00,21:14:00,government
trip_67,2040-06-06,09:00:00,21:00:00,government
trip_71,2040-05-15,09:00:00,21:00:00,government
trip_72,2040-07-17,09:00:00,21:00:00,government
trip_73,2040-05-19,09:00:00,21:00:00,government
trip_74,2040-05-20,09:00:00,21:00:00,government
trip_79,2040-07-13,09:00:00,21:00:00,government
trip_81,2040-04-01,09:00:00,21:00:00,government
trip_85,2040-04-17,11:00:00,21:00:00,government
trip_92,2040-06-17,09:00:00,21:00:00,government
trip_100,2040-06-01,08:56:00,09:21:00,government
trip_102,2040-07-30,07:34:00,08:00:00,government
trip_109,2040-06-19,09:00:00,21:13:00,government
trip_110,2040-07-17,09:00:00,21:13:00,government
trip_111,2040-06-29,09:00:00,21:00:00,government
trip_112,2040-07-10,11:00:00,21:00:00,government
trip_123,2040-05-28,08:02:00,11:00:00,government
trip_125,2040-04-03,09:00:00,21:00:00,government
trip_130,2040-05-12,11:00:00,21:00:00,government
trip_137,2040-06-18,09:00:00,21:00:00,government
trip_139,2040-04-17,09:00:00,21:00:00,government
trip_144,2040-07-15,09:00:00,21:00:00,government
trip_153,2040-05-15,13:00:00,06:13:00,government
trip_154,2040-05-02,09:00:00,21:00:00,government
trip_175,2040-06-24,09:00:00,21:00:00,government
trip_180,2040-07-04,09:00:00,21:00:00,government
trip_184,2040-04-19,06:25:00,07:04:00,government
trip_190,2040-05-08,09:00:00,21:00:00,government
trip_193,2040-07-07,09:00:00,21:00:00,government
trip_195,2040-04-28,11:00:00,21:00:00,government
trip_197,2040-07-18,09:00:00,21:00:00,government
trip_201,2040-07-03,13:00:00,06:00:00,government
trip_203,2040-04-04,09:00:00,21:00:00,government
trip_207,2040-05-08,09:00:00,21:00:00,government
trip_218,2040-07-01,11:00:00,21:00:00,government
trip_221,2040-06-22,09:00:00,21:00:00,government
trip_235,2040-05-03,09:00:00,21:00:00,government
trip_238,2040-06-30,07:15:00,07:51:00,government
trip_240,2040-04-30,11:00:00,21:00:00,government
trip_246,2040-05-06,09:00:00,21:00:00,government
trip_251,2040-04-03,09:00:00,21:17:00,government
trip_256,2040-05-01,09:00:00,21:00:00,government
trip_257,2040-07-20,09:00:00,21:00:00,government
trip_270,2040-07-08,09:00:00,21:00:00,government
trip_277,2040-06-12,09:00:00,21:00:00,government
trip_282,2040-06-28,06:39:00,07:11:00,government
trip_290,2040-05-22,09:00:00,21:00:00,government
trip_291,2040-08-02,09:00:00,21:00:00,government
trip_303,2040-07-25,09:00:00,21:00:00,government
trip_309,2040-07-22,09:00:00,21:00:00,government
trip_311,2040-04-22,09:00:00,21:00:00,government
trip_323,2040-06-03,09:00:00,21:00:00,government
trip_335,2040-04-24,09:00:00,21:00:00,government
trip_1,2040-06-16,06:29:00,12:36:00,government
trip_4,2040-07-17,07:50:00,14:42:00,government
trip_27,2040-07-07,08:49:00,14:49:00,government
trip_40,2040-06-15,07:10:00,07:10:00,government
trip_41,2040-04-10,06:30:00,10:25:00,government
trip_43,2040-04-04,08:37:00,09:42:00,government
trip_57,2040-06-05,07:18:00,11:19:00,government
trip_61,2040-06-23,07:48:00,11:52:00,government
trip_70,2040-05-13,14:00:00,19:00:00,government
trip_77,2040-05-15,07:37:00,10:17:00,government
trip_78,2040-05-22,14:00:00,19:00:00,government
trip_83,2040-06-22,06:38:00,08:52:00,government
trip_99,2040-04-26,07:10:00,09:40:00,government
trip_119,2040-05-16,14:00:00,14:00:00,government
trip_120,2040-07-21,07:00:00,19:00:00,government
trip_132,2040-04-24,06:59:00,09:19:00,government
trip_134,2040-05-05,14:00:00,19:00:00,government
trip_135,2040-06-20,07:48:00,09:32:00,government
trip_136,2040-07-09,07:12:00,12:04:00,government
trip_143,2040-07-24,09:53:00,15:04:00,government
trip_158,2040-06-12,09:56:00,15:18:00,government
trip_179,2040-06-01,06:22:00,06:22:00,government
trip_183,2040-06-11,14:00:00,14:00:00,government
trip_192,2040-05-17,06:38:00,10:44:00,government
trip_196,2040-04-03,14:00:00,14:00:00,government
trip_200,2040-07-03,08:50:00,12:13:00,government
trip_211,2040-07-01,09:45:00,09:45:00,government
trip_217,2040-04-19,09:16:00,09:16:00,government
trip_248,2040-06-12,14:00:00,19:00:00,government
trip_249,2040-05-21,14:00:00,19:00:00,government
trip_250,2040-06-07,14:00:00,19:00:00,government
trip_258,2040-05-22,07:19:00,12:42:00,government
trip_259,2040-07-04,06:41:00,12:13:00,government
trip_263,2040-04-03,07:18:00,12:12:00,government
trip_264,2040-04-12,08:46:00,09:28:00,government
trip_266,2040-05-07,10:57:00,12:57:00,government
trip_268,2040-04-17,07:14:00,10:07:00,government
trip_271,2040-05-01,07:40:00,11:24:00,government
trip_275,2040-05-06,08:42:00,14:52:00,government
trip_276,2040-06-27,07:00:00,19:00:00,government
trip_283,2040-08-01,09:52:00,11:54:00,government
trip_296,2040-04-02,07:45:00,12:05:00,government
trip_302,2040-07-23,09:07:00,13:31:00,government
trip_306,2040-07-10,07:09:00,09:10:00,government
trip_308,2040-04-08,09:32:00,17:22:00,government
trip_314,2040-06-25,07:53:00,10:51:00,government
trip_319,2040-07-17,08:08:00,12:53:00,government
trip_320,2040-04-27,14:00:00,19:00:00,government
trip_328,2040-06-05,07:22:00,11:07:00,government
trip_334,2040-06-19,07:05:00,11:23:00,government
trip_337,2040-06-26,08:40:00,12:58:00,government
trip_341,2040-07-12,07:00:00,19:00:00,government
trip_0,2040-04-24,09:00:00,21:00:00,journalist
trip_1,2040-06-16,06:29:00,12:36:00,journalist
trip_2,2040-06-28,08:23:00,08:23:00,journalist
trip_3,2040-06-06,07:28:00,07:59:00,journalist
trip_4,2040-07-17,07:50:00,14:42:00,journalist
trip_5,2040-07-24,09:00:00,21:00:00,journalist
trip_6,2040-05-15,08:44:00,10:21:00,journalist
trip_7,2040-07-17,09:31:00,03:00:00,journalist
trip_8,2040-06-26,09:00:00,21:00:00,journalist
trip_9,2040-04-24,08:56:00,11:40:00,journalist
trip_10,2040-05-31,06:07:00,07:57:00,journalist
trip_11,2040-07-10,09:00:00,21:00:00,journalist
trip_12,2040-07-08,10:50:00,11:39:00,journalist
trip_13,2040-07-10,09:00:00,21:36:00,journalist
trip_14,2040-04-22,06:18:00,07:12:00,journalist
trip_15,2040-04-24,09:00:00,21:00:00,journalist
trip_16,2040-04-08,09:00:00,21:00:00,journalist
trip_17,2040-05-02,06:59:00,07:36:00,journalist
trip_18,2040-05-17,07:42:00,08:35:00,journalist
trip_19,2040-04-10,09:00:00,21:00:00,journalist
trip_20,2040-05-27,06:07:00,13:00:00,journalist
trip_21,2040-06-05,11:00:00,21:00:00,journalist
trip_22,2040-06-03,07:46:00,09:33:00,journalist
trip_23,2040-07-10,09:00:00,21:00:00,journalist
trip_24,2040-04-07,11:00:00,21:00:00,journalist
trip_25,2040-06-17,09:32:00,10:21:00,journalist
trip_26,2040-05-01,09:17:00,13:00:00,journalist
trip_27,2040-07-07,08:49:00,14:49:00,journalist
trip_28,2040-05-10,09:00:00,21:00:00,journalist
trip_29,2040-07-16,09:37:00,12:15:00,journalist
trip_30,2040-05-17,09:00:00,21:00:00,journalist
trip_31,2040-07-03,08:23:00,06:30:00,journalist
trip_32,2040-06-06,07:13:00,09:01:00,journalist
trip_33,2040-06-04,07:00:00,19:00:00,journalist
trip_34,2040-07-01,09:14:00,09:55:00,journalist
trip_35,2040-04-04,09:00:00,21:00:00,journalist
trip_36,2040-05-25,06:34:00,08:24:00,journalist
trip_37,2040-06-20,06:23:00,07:20:00,journalist
trip_38,2040-04-14,09:00:00,21:00:00,journalist
trip_39,2040-04-13,08:40:00,09:44:00,journalist
trip_40,2040-06-15,07:10:00,07:10:00,journalist
trip_41,2040-04-10,06:30:00,10:25:00,journalist
trip_42,2040-06-09,06:38:00,08:23:00,journalist
trip_43,2040-04-04,08:37:00,09:42:00,journalist
trip_44,2040-06-07,09:00:00,21:00:00,journalist
trip_45,2040-06-16,11:00:00,21:00:00,journalist
trip_46,2040-05-08,07:45:00,09:59:00,journalist
trip_47,2040-04-10,06:38:00,09:31:00,journalist
trip_48,2040-06-27,09:00:00,21:00:00,journalist
trip_49,2040-06-12,08:34:00,06:28:00,journalist
trip_50,2040-08-01,09:24:00,09:57:00,journalist
trip_51,2040-06-25,09:00:00,21:00:00,journalist
trip_52,2040-07-11,09:00:00,21:00:00,journalist
trip_53,2040-04-03,08:28:00,06:28:00,journalist
trip_54,2040-07-10,09:08:00,10:06:00,journalist
trip_55,2040-05-15,07:39:00,10:47:00,journalist
trip_56,2040-06-05,09:00:00,21:43:00,journalist
trip_57,2040-06-05,07:18:00,11:19:00,journalist
trip_58,2040-05-15,09:00:00,21:00:00,journalist
trip_59,2040-05-27,11:00:00,21:00:00,journalist
trip_60,2040-04-06,08:40:00,09:32:00,journalist
trip_61,2040-06-23,07:48:00,11:52:00,journalist
trip_62,2040-05-03,09:00:00,21:00:00,journalist
trip_63,2040-05-14,09:00:00,21:00:00,journalist
trip_64,2040-06-05,09:00:00,21:14:00,journalist
trip_65,2040-05-23,06:19:00,08:27:00,journalist
trip_66,2040-07-10,08:25:00,06:35:00,journalist
trip_67,2040-06-06,09:00:00,21:00:00,journalist
trip_68,2040-05-27,08:16:00,09:55:00,journalist
trip_69,2040-04-17,09:00:00,21:54:00,journalist
trip_70,2040-05-13,14:00:00,19:00:00,journalist
trip_71,2040-05-15,09:00:00,21:00:00,journalist
trip_72,2040-07-17,09:00:00,21:00:00,journalist
trip_73,2040-05-19,09:00:00,21:00:00,journalist
trip_74,2040-05-20,09:00:00,21:00:00,journalist
trip_75,2040-06-14,07:42:00,08:26:00,journalist
trip_76,2040-05-24,09:00:00,21:00:00,journalist
trip_77,2040-05-15,07:37:00,10:17:00,journalist
trip_78,2040-05-22,14:00:00,19:00:00,journalist
trip_79,2040-07-13,09:00:00,21:00:00,journalist
trip_80,2040-04-23,08:10:00,10:21:00,journalist
trip_81,2040-04-01,09:00:00,21:00:00,journalist
trip_82,2040-06-12,08:48:00,08:48:00,journalist
trip_83,2040-06-22,06:38:00,08:52:00,journalist
trip_84,2040-05-10,07:20:00,08:09:00,journalist
trip_85,2040-04-17,11:00:00,21:00:00,journalist
trip_86,2040-06-16,09:17:00,09:33:00,journalist
trip_87,2040-04-24,09:00:00,21:00:00,journalist
trip_88,2040-04-08,07:43:00,08:51:00,journalist
trip_89,2040-05-19,09:00:00,21:00:00,journalist
trip_90,2040-07-09,08:42:00,09:28:00,journalist
trip_91,2040-04-01,07:57:00,08:55:00,journalist
trip_92,2040-06-17,09:00:00,21:00:00,journalist
trip_93,2040-07-27,08:29:00,10:15:00,journalist
trip_94,2040-07-15,09:00:00,21:00:00,journalist
trip_95,2040-07-26,07:42:00,08:51:00,journalist
trip_96,2040-04-10,08:25:00,03:00:00,journalist
trip_97,2040-06-05,09:00:00,21:00:00,journalist
trip_98,2040-05-24,07:00:00,19:00:00,journalist
trip_99,2040-04-26,07:10:00,09:40:00,journalist
trip_100,2040-06-01,08:56:00,09:21:00,journalist
trip_101,2040-07-06,09:00:00,21:00:00,journalist
trip_102,2040-07-30,07:34:00,08:00:00,journalist
trip_103,2040-07-17,08:42:00,11:13:00,journalist
trip_104,2040-06-05,09:59:00,06:30:00,journalist
trip_105,2040-06-26,09:00:00,21:00:00,journalist
trip_106,2040-04-19,07:00:00,19:00:00,journalist
trip_107,2040-05-29,07:16:00,08:08:00,journalist
trip_108,2040-07-20,09:31:00,11:30:00,journalist
trip_109,2040-06-19,09:00:00,21:13:00,journalist
trip_110,2040-07-17,09:00:00,21:13:00,journalist
trip_111,2040-06-29,09:00:00,21:00:00,journalist
trip_112,2040-07-10,11:00:00,21:00:00,journalist
trip_113,2040-04-24,08:16:00,03:00:00,journalist
trip_114,2040-05-14,07:31:00,10:21:00,journalist
trip_115,2040-07-17,09:00:00,21:00:00,journalist
trip_116,2040-06-01,07:07:00,13:00:00,journalist
trip_117,2040-04-03,09:00:00,21:00:00,journalist
trip_118,2040-05-20,09:00:00,21:00:00,journalist
trip_119,2040-05-16,14:00:00,14:00:00,journalist
trip_120,2040-07-21,07:00:00,19:00:00,journalist
trip_121,2040-06-12,09:00:00,21:00:00,journalist
trip_122,2040-06-18,07:03:00,07:03:00,journalist
trip_123,2040-05-28,08:02:00,11:00:00,journalist
trip_124,2040-04-10,09:03:00,09:43:00,journalist
trip_125,2040-04-03,09:00:00,21:00:00,journalist
trip_126,2040-06-26,07:18:00,10:36:00,journalist
trip_127,2040-05-15,09:11:00,09:53:00,journalist
trip_128,2040-06-20,06:36:00,07:02:00,journalist
trip_129,2040-04-13,09:43:00,10:18:00,journalist
trip_130,2040-05-12,11:00:00,21:00:00,journalist
trip_131,2040-04-02,09:00:00,21:00:00,journalist
trip_132,2040-04-24,06:59:00,09:19:00,journalist
trip_133,2040-07-24,09:00:00,21:00:00,journalist
trip_134,2040-05-05,14:00:00,19:00:00,journalist
trip_135,2040-06-20,07:48:00,09:32:00,journalist
trip_136,2040-07-09,07:12:00,12:04:00,journalist
trip_137,2040-06-18,09:00:00,21:00:00,journalist
trip_138,2040-05-28,07:15:00,08:40:00,journalist
trip_139,2040-04-17,09:00:00,21:00:00,journalist
trip_140,2040-06-12,09:00:00,21:00:00,journalist
trip_141,2040-06-11,08:53:00,09:53:00,journalist
trip_142,2040-04-15,09:01:00,10:52:00,journalist
trip_143,2040-07-24,09:53:00,15:04:00,journalist
trip_144,2040-07-15,09:00:00,21:00:00,journalist
trip_145,2040-04-17,09:00:00,21:44:00,journalist
trip_146,2040-04-06,06:09:00,07:36:00,journalist
trip_147,2040-06-02,06:59:00,08:38:00,journalist
trip_148,2040-06-14,07:05:00,09:24:00,journalist
trip_149,2040-05-06,14:00:00,19:00:00,journalist
trip_150,2040-06-19,06:51:00,09:25:00,journalist
trip_151,2040-05-21,08:19:00,09:17:00,journalist
trip_152,2040-04-02,08:53:00,09:21:00,journalist
trip_153,2040-05-15,13:00:00,06:13:00,journalist
trip_154,2040-05-02,09:00:00,21:00:00,journalist
trip_155,2040-04-23,06:13:00,08:11:00,journalist
trip_156,2040-07-24,06:38:00,08:04:00,journalist
trip_157,2040-07-03,09:00:00,21:00:00,journalist
trip_158,2040-06-12,09:56:00,15:18:00,journalist
trip_159,2040-04-12,08:05:00,10:12:00,journalist
trip_160,2040-05-21,07:20:00,08:44:00,journalist
trip_161,2040-07-06,09:39:00,10:13:00,journalist
trip_162,2040-07-21,09:00:00,21:00:00,journalist
trip_163,2040-07-29,06:21:00,08:06:00,journalist
trip_164,2040-06-28,09:45:00,11:09:00,journalist
trip_165,2040-04-29,08:29:00,09:44:00,journalist
trip_166,2040-04-30,09:00:00,21:00:00,journalist
trip_167,2040-06-17,09:00:00,21:00:00,journalist
trip_168,2040-04-24,09:00:00,21:00:00,journalist
trip_169,2040-04-11,09:00:00,21:00:00,journalist
trip_170,2040-04-15,07:19:00,09:19:00,journalist
trip_171,2040-05-30,06:34:00,07:29:00,journalist
trip_172,2040-06-26,09:00:00,21:48:00,journalist
trip_173,2040-06-28,09:00:00,21:00:00,journalist
trip_174,2040-05-02,07:16:00,08:30:00,journalist
trip_175,2040-06-24,09:00:00,21:00:00,journalist
trip_176,2040-05-17,09:17:00,09:58:00,journalist
trip_177,2040-04-01,09:00:00,21:00:00,journalist
trip_178,2040-06-22,07:00:00,19:00:00,journalist
trip_179,2040-06-01,06:22:00,06:22:00,journalist
trip_180,2040-07-04,09:00:00,21:00:00,journalist
trip_181,2040-05-22,09:27:00,12:22:00,journalist
trip_182,2040-05-08,06:25:00,03:00:00,journalist
trip_183,2040-06-11,14:00:00,14:00:00,journalist
trip_184,2040-04-19,06:25:00,07:04:00,journalist
trip_185,2040-04-10,07:09:00,09:45:00,journalist
trip_186,2040-06-17,09:00:00,21:00:00,journalist
trip_187,2040-06-06,09:00:00,21:00:00,journalist
trip_188,2040-06-20,09:00:00,21:00:00,journalist
trip_189,2040-06-04,07:05:00,07:05:00,journalist
trip_190,2040-05-08,09:00:00,21:00:00,journalist
trip_191,2040-07-01,08:44:00,09:42:00,journalist
trip_192,2040-05-17,06:38:00,10:44:00,journalist
trip_193,2040-07-07,09:00:00,21:00:00,journalist
trip_194,2040-06-09,09:00:00,21:00:00,journalist
trip_195,2040-04-28,11:00:00,21:00:00,journalist
trip_196,2040-04-03,14:00:00,14:00:00,journalist
trip_197,2040-07-18,09:00:00,21:00:00,journalist
trip_198,2040-06-05,07:17:00,10:33:00,journalist
trip_199,2040-07-24,08:18:00,10:28:00,journalist
trip_200,2040-07-03,08:50:00,12:13:00,journalist
trip_201,2040-07-03,13:00:00,06:00:00,journalist
trip_202,2040-04-15,09:24:00,10:30:00,journalist
trip_203,2040-04-04,09:00:00,21:00:00,journalist
trip_204,2040-03-31,06:00:00,07:37:00,journalist
trip_205,2040-07-03,09:00:00,21:00:00,journalist
trip_206,2040-07-03,09:00:00,21:00:00,journalist
trip_207,2040-05-08,09:00:00,21:00:00,journalist
trip_208,2040-05-07,07:25:00,08:11:00,journalist
trip_209,2040-04-26,06:17:00,07:06:00,journalist
trip_210,2040-07-24,09:00:00,21:00:00,journalist
trip_211,2040-07-01,09:45:00,09:45:00,journalist
trip_212,2040-07-11,09:00:00,21:00:00,journalist
trip_213,2040-07-19,09:00:00,21:00:00,journalist
trip_214,2040-06-05,07:36:00,07:36:00,journalist
trip_215,2040-05-08,09:00:00,21:00:00,journalist
trip_216,2040-04-30,07:06:00,07:42:00,journalist
trip_217,2040-04-19,09:16:00,09:16:00,journalist
trip_218,2040-07-01,11:00:00,21:00:00,journalist
trip_219,2040-06-10,08:35:00,09:17:00,journalist
trip_220,2040-06-24,07:38:00,10:32:00,journalist
trip_221,2040-06-22,09:00:00,21:00:00,journalist
trip_222,2040-06-25,09:57:00,10:38:00,journalist
trip_223,2040-05-22,09:13:00,03:00:00,journalist
trip_224,2040-05-18,07:08:00,07:37:00,journalist
trip_225,2040-06-19,13:00:00,06:50:00,journalist
trip_226,2040-05-09,07:48:00,08:44:00,journalist
trip_227,2040-07-16,07:28:00,08:00:00,journalist
trip_228,2040-04-19,09:00:00,21:00:00,journalist
trip_229,2040-06-24,08:07:00,09:20:00,journalist
trip_230,2040-05-01,13:00:00,06:46:00,journalist
trip_231,2040-06-01,09:00:00,21:00:00,journalist
trip_232,2040-04-18,07:22:00,09:01:00,journalist
trip_233,2040-06-12,07:54:00,07:54:00,journalist
trip_234,2040-06-27,06:47:00,07:55:00,journalist
trip_235,2040-05-03,09:00:00,21:00:00,journalist
trip_236,2040-06-21,09:00:00,21:00:00,journalist
trip_237,2040-04-01,08:55:00,09:30:00,journalist
trip_238,2040-06-30,07:15:00,07:51:00,journalist
trip_239,2040-07-10,08:59:00,12:04:00,journalist
trip_240,2040-04-30,11:00:00,21:00:00,journalist
trip_241,2040-06-26,08:56:00,08:56:00,journalist
trip_242,2040-07-19,08:23:00,09:02:00,journalist
trip_243,2040-04-03,09:00:00,21:00:00,journalist
trip_244,2040-06-19,09:00:00,21:37:00,journalist
trip_245,2040-05-27,09:00:00,21:00:00,journalist
trip_246,2040-05-06,09:00:00,21:00:00,journalist
trip_247,2040-05-07,07:36:00,07:36:00,journalist
trip_248,2040-06-12,14:00:00,19:00:00,journalist
trip_249,2040-05-21,14:00:00,19:00:00,journalist
trip_250,2040-06-07,14:00:00,19:00:00,journalist
trip_251,2040-04-03,09:00:00,21:17:00,journalist
trip_252,2040-04-10,09:36:00,10:45:00,journalist
trip_253,2040-04-01,07:37:00,09:26:00,journalist
trip_254,2040-05-18,07:25:00,09:04:00,journalist
trip_255,2040-05-08,09:00:00,21:55:00,journalist
trip_256,2040-05-01,09:00:00,21:00:00,journalist
trip_257,2040-07-20,09:00:00,21:00:00,journalist
trip_258,2040-05-22,07:19:00,12:42:00,journalist
trip_259,2040-07-04,06:41:00,12:13:00,journalist
trip_260,2040-08-01,07:37:00,07:37:00,journalist
trip_261,2040-07-03,09:00:00,21:00:00,journalist
trip_262,2040-05-10,09:20:00,09:20:00,journalist
trip_263,2040-04-03,07:18:00,12:12:00,journalist
trip_264,2040-04-12,08:46:00,09:28:00,journalist
trip_265,2040-06-13,08:07:00,09:33:00,journalist
trip_266,2040-05-07,10:57:00,12:57:00,journalist
trip_267,2040-04-08,07:53:00,09:48:00,journalist
trip_268,2040-04-17,07:14:00,10:07:00,journalist
trip_269,2040-07-12,09:00:00,21:00:00,journalist
trip_270,2040-07-08,09:00:00,21:00:00,journalist
trip_271,2040-05-01,07:40:00,11:24:00,journalist
trip_272,2040-07-15,08:22:00,09:17:00,journalist
trip_273,2040-05-13,09:00:00,21:00:00,journalist
trip_274,2040-05-10,07:06:00,08:57:00,journalist
trip_275,2040-05-06,08:42:00,14:52:00,journalist
trip_276,2040-06-27,07:00:00,19:00:00,journalist
trip_277,2040-06-12,09:00:00,21:00:00,journalist
trip_278,2040-05-29,08:07:00,08:59:00,journalist
trip_279,2040-04-17,08:56:00,10:18:00,journalist
trip_280,2040-06-22,08:36:00,09:50:00,journalist
trip_281,2040-04-17,08:41:00,06:24:00,journalist
trip_282,2040-06-28,06:39:00,07:11:00,journalist
trip_283,2040-08-01,09:52:00,11:54:00,journalist
trip_284,2040-04-08,09:00:00,21:00:00,journalist
trip_285,2040-07-07,08:25:00,11:02:00,journalist
trip_286,2040-05-22,09:00:00,21:39:00,journalist
trip_287,2040-05-25,09:00:00,21:00:00,journalist
trip_288,2040-04-22,07:39:00,08:34:00,journalist
trip_289,2040-05-31,06:52:00,08:44:00,journalist
trip_290,2040-05-22,09:00:00,21:00:00,journalist
trip_291,2040-08-02,09:00:00,21:00:00,journalist
trip_292,2040-07-26,08:40:00,11:34:00,journalist
trip_293,2040-07-19,09:24:00,10:20:00,journalist
trip_294,2040-07-24,09:00:00,21:00:00,journalist
trip_295,2040-07-18,07:39:00,08:48:00,journalist
trip_296,2040-04-02,07:45:00,12:05:00,journalist
trip_297,2040-06-24,06:29:00,07:09:00,journalist
trip_298,2040-04-10,09:00:00,21:54:00,journalist
trip_299,2040-07-30,08:21:00,09:06:00,journalist
trip_300,2040-07-23,07:30:00,10:04:00,journalist
trip_301,2040-05-05,07:00:00,19:00:00,journalist
trip_302,2040-07-23,09:07:00,13:31:00,journalist
trip_303,2040-07-25,09:00:00,21:00:00,journalist
trip_304,2040-07-18,09:00:00,21:00:00,journalist
trip_305,2040-05-01,09:00:00,21:00:00,journalist
trip_306,2040-07-10,07:09:00,09:10:00,journalist
trip_307,2040-07-11,09:00:00,21:00:00,journalist
trip_308,2040-04-08,09:32:00,17:22:00,journalist
trip_309,2040-07-22,09:00:00,21:00:00,journalist
trip_310,2040-07-17,09:00:00,21:00:00,journalist
trip_311,2040-04-22,09:00:00,21:00:00,journalist
trip_312,2040-04-10,09:00:00,21:00:00,journalist
trip_313,2040-07-27,09:00:00,21:00:00,journalist
trip_314,2040-06-25,07:53:00,10:51:00,journalist
trip_315,2040-05-15,09:00:00,21:53:00,journalist
trip_316,2040-05-22,09:00:00,21:55:00,journalist
trip_317,2040-04-27,09:12:00,09:12:00,journalist
