trip_id,people_id,time,source
trip_83,Seal,nan,government
trip_99,Seal,nan,government
trip_119,Seal,nan,government
trip_120,Seal,nan,government
trip_132,Seal,nan,government
trip_134,Seal,nan,government
trip_135,Seal,nan,government
trip_136,Seal,nan,government
trip_143,Seal,nan,government
trip_158,Seal,nan,government
trip_179,Seal,nan,government
trip_183,Seal,nan,government
trip_192,Seal,nan,government
trip_196,Seal,nan,government
trip_200,Seal,nan,government
trip_211,Seal,nan,government
trip_217,Seal,nan,government
trip_248,Seal,nan,government
trip_249,Seal,nan,government
trip_250,Seal,nan,government
trip_258,Seal,nan,government
trip_259,Seal,nan,government
trip_263,Seal,nan,government
trip_264,Seal,nan,government
trip_266,Seal,nan,government
trip_268,Seal,nan,government
trip_271,Seal,nan,government
trip_275,Seal,nan,government
trip_276,Seal,nan,government
trip_283,Seal,nan,government
trip_296,Seal,nan,government
trip_302,Seal,nan,government
trip_306,Seal,nan,government
trip_308,Seal,nan,government
trip_314,Seal,nan,government
trip_319,Seal,nan,government
trip_320,Seal,nan,government
trip_328,Seal,nan,government
trip_334,Seal,nan,government
trip_337,Seal,nan,government
trip_341,Seal,nan,government
trip_0,Simone Kat,nan,journalist
trip_1,Seal,nan,journalist
trip_2,Ed Helpsford,nan,journalist
trip_3,Teddy Goldstein,nan,journalist
trip_4,Seal,nan,journalist
trip_5,Carol Limpet,nan,journalist
trip_6,Ed Helpsford,nan,journalist
trip_7,Teddy Goldstein,nan,journalist
trip_8,Carol Limpet,nan,journalist
trip_9,Tante Titan,nan,journalist
trip_10,Teddy Goldstein,nan,journalist
trip_11,Simone Kat,nan,journalist
trip_12,Simone Kat,nan,journalist
trip_13,Ed Helpsford,nan,journalist
trip_14,Simone Kat,nan,journalist
trip_15,Carol Limpet,nan,journalist
trip_16,Carol Limpet,nan,journalist
trip_17,Ed Helpsford,nan,journalist
trip_18,Ed Helpsford,nan,journalist
trip_19,Carol Limpet,nan,journalist
trip_20,Simone Kat,nan,journalist
trip_21,Ed Helpsford,nan,journalist
trip_22,Simone Kat,nan,journalist
trip_23,Carol Limpet,nan,journalist
trip_24,Carol Limpet,nan,journalist
trip_25,Teddy Goldstein,nan,journalist
trip_26,Tante Titan,nan,journalist
trip_27,Seal,nan,journalist
trip_28,Carol Limpet,nan,journalist
trip_29,Ed Helpsford,nan,journalist
trip_30,Carol Limpet,nan,journalist
trip_31,Teddy Goldstein,nan,journalist
trip_32,Tante Titan,nan,journalist
trip_33,Tante Titan,nan,journalist
trip_34,Teddy Goldstein,nan,journalist
trip_35,Ed Helpsford,nan,journalist
trip_36,Tante Titan,nan,journalist
trip_37,Ed Helpsford,nan,journalist
trip_38,Simone Kat,nan,journalist
trip_39,Teddy Goldstein,nan,journalist
trip_40,Seal,nan,journalist
trip_41,Seal,nan,journalist
trip_42,Tante Titan,nan,journalist
trip_43,Seal,nan,journalist
trip_44,Simone Kat,nan,journalist
trip_45,Ed Helpsford,nan,journalist
trip_46,Tante Titan,nan,journalist
trip_47,Simone Kat,nan,journalist
trip_48,Carol Limpet,nan,journalist
trip_49,Teddy Goldstein,nan,journalist
trip_50,Carol Limpet,nan,journalist
trip_51,Ed Helpsford,nan,journalist
trip_52,Carol Limpet,nan,journalist
trip_53,Teddy Goldstein,nan,journalist
trip_54,Ed Helpsford,nan,journalist
trip_55,Tante Titan,nan,journalist
trip_56,Simone Kat,nan,journalist
trip_57,Seal,nan,journalist
trip_58,Ed Helpsford,nan,journalist
trip_59,Carol Limpet,nan,journalist
trip_60,Teddy Goldstein,nan,journalist
trip_61,Seal,nan,journalist
trip_62,Ed Helpsford,nan,journalist
trip_63,Simone Kat,nan,journalist
trip_64,Carol Limpet,nan,journalist
trip_65,Simone Kat,nan,journalist
trip_66,Teddy Goldstein,nan,journalist
trip_67,Carol Limpet,nan,journalist
trip_68,Tante Titan,nan,journalist
trip_69,Ed Helpsford,nan,journalist
trip_70,Seal,nan,journalist
trip_71,Carol Limpet,nan,journalist
trip_72,Carol Limpet,nan,journalist
trip_73,Carol Limpet,nan,journalist
trip_74,Carol Limpet,nan,journalist
trip_75,Teddy Goldstein,nan,journalist
trip_76,Simone Kat,nan,journalist
trip_77,Seal,nan,journalist
trip_78,Seal,nan,journalist
trip_79,Carol Limpet,nan,journalist
trip_80,Ed Helpsford,nan,journalist
trip_81,Carol Limpet,nan,journalist
trip_82,Ed Helpsford,nan,journalist
trip_83,Seal,nan,journalist
trip_84,Tante Titan,nan,journalist
trip_85,Carol Limpet,nan,journalist
trip_86,Tante Titan,nan,journalist
trip_87,Ed Helpsford,nan,journalist
trip_88,Teddy Goldstein,nan,journalist
trip_89,Ed Helpsford,nan,journalist
trip_90,Teddy Goldstein,nan,journalist
trip_91,Teddy Goldstein,nan,journalist
trip_92,Carol Limpet,nan,journalist
trip_93,Tante Titan,nan,journalist
trip_94,Simone Kat,nan,journalist
trip_95,Teddy Goldstein,nan,journalist
trip_96,Teddy Goldstein,nan,journalist
trip_97,Simone Kat,nan,journalist
trip_98,Tante Titan,nan,journalist
trip_99,Seal,nan,journalist
trip_100,Carol Limpet,nan,journalist
trip_101,Simone Kat,nan,journalist
trip_102,Carol Limpet,nan,journalist
trip_103,Tante Titan,nan,journalist
trip_104,Teddy Goldstein,nan,journalist
trip_105,Simone Kat,nan,journalist
trip_106,Tante Titan,nan,journalist
trip_107,Tante Titan,nan,journalist
trip_108,Tante Titan,nan,journalist
trip_109,Carol Limpet,nan,journalist
trip_110,Carol Limpet,nan,journalist
trip_111,Carol Limpet,nan,journalist
trip_112,Carol Limpet,nan,journalist
trip_113,Teddy Goldstein,nan,journalist
trip_114,Simone Kat,nan,journalist
trip_115,Simone Kat,nan,journalist
trip_116,Teddy Goldstein,nan,journalist
trip_117,Ed Helpsford,nan,journalist
trip_118,Simone Kat,nan,journalist
trip_119,Seal,nan,journalist
trip_120,Seal,nan,journalist
trip_121,Simone Kat,nan,journalist
trip_122,Simone Kat,nan,journalist
trip_123,Carol Limpet,nan,journalist
trip_124,Tante Titan,nan,journalist
trip_125,Carol Limpet,nan,journalist
trip_126,Tante Titan,nan,journalist
trip_127,Teddy Goldstein,nan,journalist
trip_128,Tante Titan,nan,journalist
trip_129,Tante Titan,nan,journalist
trip_130,Carol Limpet,nan,journalist
trip_131,Simone Kat,nan,journalist
trip_132,Seal,nan,journalist
trip_133,Ed Helpsford,nan,journalist
trip_134,Seal,nan,journalist
trip_135,Seal,nan,journalist
trip_136,Seal,nan,journalist
trip_137,Carol Limpet,nan,journalist
trip_138,Simone Kat,nan,journalist
trip_139,Carol Limpet,nan,journalist
trip_140,Ed Helpsford,nan,journalist
trip_141,Teddy Goldstein,nan,journalist
trip_142,Tante Titan,nan,journalist
trip_143,Seal,nan,journalist
trip_144,Carol Limpet,nan,journalist
trip_145,Simone Kat,nan,journalist
trip_146,Simone Kat,nan,journalist
trip_147,Teddy Goldstein,nan,journalist
trip_148,Ed Helpsford,nan,journalist
trip_149,Seal,nan,journalist
trip_150,Tante Titan,nan,journalist
trip_151,Teddy Goldstein,nan,journalist
trip_152,Tante Titan,nan,journalist
trip_153,Carol Limpet,nan,journalist
trip_154,Carol Limpet,nan,journalist
trip_155,Simone Kat,nan,journalist
trip_156,Ed Helpsford,nan,journalist
trip_157,Simone Kat,nan,journalist
trip_158,Seal,nan,journalist
trip_159,Tante Titan,nan,journalist
trip_160,Tante Titan,nan,journalist
trip_161,Teddy Goldstein,nan,journalist
trip_162,Ed Helpsford,nan,journalist
trip_163,Simone Kat,nan,journalist
trip_164,Tante Titan,nan,journalist
trip_165,Teddy Goldstein,nan,journalist
trip_166,Simone Kat,nan,journalist
trip_167,Ed Helpsford,nan,journalist
trip_168,Ed Helpsford,nan,journalist
trip_169,Simone Kat,nan,journalist
trip_170,Simone Kat,nan,journalist
trip_171,Tante Titan,nan,journalist
trip_172,Ed Helpsford,nan,journalist
trip_173,Simone Kat,nan,journalist
trip_174,Teddy Goldstein,nan,journalist
trip_175,Carol Limpet,nan,journalist
trip_176,Tante Titan,nan,journalist
trip_177,Carol Limpet,nan,journalist
trip_178,Tante Titan,nan,journalist
trip_179,Seal,nan,journalist
trip_180,Carol Limpet,nan,journalist
trip_181,Tante Titan,nan,journalist
trip_182,Teddy Goldstein,nan,journalist
trip_183,Seal,nan,journalist
trip_184,Carol Limpet,nan,journalist
trip_185,Tante Titan,nan,journalist
trip_186,Simone Kat,nan,journalist
trip_187,Simone Kat,nan,journalist
trip_188,Carol Limpet,nan,journalist
trip_189,Ed Helpsford,nan,journalist
trip_190,Carol Limpet,nan,journalist
trip_191,Tante Titan,nan,journalist
trip_192,Seal,nan,journalist
trip_193,Carol Limpet,nan,journalist
trip_194,Ed Helpsford,nan,journalist
trip_195,Carol Limpet,nan,journalist
trip_196,Seal,nan,journalist
trip_197,Carol Limpet,nan,journalist
trip_198,Tante Titan,nan,journalist
trip_199,Tante Titan,nan,journalist
trip_200,Seal,nan,journalist
trip_201,Carol Limpet,nan,journalist
trip_202,Teddy Goldstein,nan,journalist
trip_203,Carol Limpet,nan,journalist
trip_204,Simone Kat,nan,journalist
trip_205,Simone Kat,nan,journalist
trip_206,Ed Helpsford,nan,journalist
trip_207,Carol Limpet,nan,journalist
trip_208,Teddy Goldstein,nan,journalist
trip_209,Tante Titan,nan,journalist
trip_210,Simone Kat,nan,journalist
trip_211,Seal,nan,journalist
trip_212,Ed Helpsford,nan,journalist
trip_213,Ed Helpsford,nan,journalist
trip_214,Tante Titan,nan,journalist
trip_215,Simone Kat,nan,journalist
trip_216,Tante Titan,nan,journalist
trip_217,Seal,nan,journalist
trip_218,Carol Limpet,nan,journalist
trip_219,Simone Kat,nan,journalist
trip_220,Ed Helpsford,nan,journalist
trip_221,Carol Limpet,nan,journalist
trip_222,Teddy Goldstein,nan,journalist
trip_223,Teddy Goldstein,nan,journalist
trip_224,Carol Limpet,nan,journalist
trip_225,Ed Helpsford,nan,journalist
trip_226,Ed Helpsford,nan,journalist
trip_227,Tante Titan,nan,journalist
trip_228,Simone Kat,nan,journalist
trip_229,Simone Kat,nan,journalist
trip_230,Simone Kat,nan,journalist
trip_231,Simone Kat,nan,journalist
trip_232,Ed Helpsford,nan,journalist
trip_233,Simone Kat,nan,journalist
trip_234,Ed Helpsford,nan,journalist
trip_235,Carol Limpet,nan,journalist
trip_236,Ed Helpsford,nan,journalist
trip_237,Tante Titan,nan,journalist
trip_238,Carol Limpet,nan,journalist
trip_239,Tante Titan,nan,journalist
trip_240,Carol Limpet,nan,journalist
trip_241,Simone Kat,nan,journalist
trip_242,Simone Kat,nan,journalist
trip_243,Simone Kat,nan,journalist
trip_244,Simone Kat,nan,journalist
trip_245,Ed Helpsford,nan,journalist
trip_246,Carol Limpet,nan,journalist
trip_247,Simone Kat,nan,journalist
trip_248,Seal,nan,journalist
trip_249,Seal,nan,journalist
trip_250,Seal,nan,journalist
trip_251,Carol Limpet,nan,journalist
trip_252,Simone Kat,nan,journalist
trip_253,Ed Helpsford,nan,journalist
trip_254,Ed Helpsford,nan,journalist
trip_255,Ed Helpsford,nan,journalist
trip_256,Carol Limpet,nan,journalist
trip_257,Carol Limpet,nan,journalist
trip_258,Seal,nan,journalist
trip_259,Seal,nan,journalist
trip_260,Tante Titan,nan,journalist
trip_261,Ed Helpsford,nan,journalist
trip_262,Simone Kat,nan,journalist
trip_263,Seal,nan,journalist
trip_264,Seal,nan,journalist
trip_265,Teddy Goldstein,nan,journalist
trip_266,Seal,nan,journalist
trip_267,Simone Kat,nan,journalist
trip_268,Seal,nan,journalist
trip_269,Ed Helpsford,nan,journalist
trip_270,Carol Limpet,nan,journalist
trip_271,Seal,nan,journalist
trip_272,Teddy Goldstein,nan,journalist
trip_273,Simone Kat,nan,journalist
trip_274,Simone Kat,nan,journalist
trip_275,Seal,nan,journalist
trip_276,Seal,nan,journalist
trip_277,Carol Limpet,nan,journalist
trip_278,Teddy Goldstein,nan,journalist
trip_279,Tante Titan,nan,journalist
trip_280,Teddy Goldstein,nan,journalist
trip_281,Teddy Goldstein,nan,journalist
trip_282,Carol Limpet,nan,journalist
trip_283,Seal,nan,journalist
trip_284,Ed Helpsford,nan,journalist
trip_285,Simone Kat,nan,journalist
trip_286,Simone Kat,nan,journalist
trip_287,Ed Helpsford,nan,journalist
trip_288,Teddy Goldstein,nan,journalist
trip_289,Ed Helpsford,nan,journalist
trip_290,Carol Limpet,nan,journalist
trip_291,Carol Limpet,nan,journalist
trip_292,Simone Kat,nan,journalist
trip_293,Teddy Goldstein,nan,journalist
trip_294,Simone Kat,nan,journalist
trip_295,Tante Titan,nan,journalist
trip_296,Seal,nan,journalist
trip_297,Teddy Goldstein,nan,journalist
trip_298,Ed Helpsford,nan,journalist
trip_299,Ed Helpsford,nan,journalist
trip_300,Simone Kat,nan,journalist
trip_301,Tante Titan,nan,journalist
trip_302,Seal,nan,journalist
trip_303,Carol Limpet,nan,journalist
trip_304,Ed Helpsford,nan,journalist
trip_305,Ed Helpsford,nan,journalist
trip_306,Seal,nan,journalist
trip_307,Simone Kat,nan,journalist
trip_308,Seal,nan,journalist
trip_309,Carol Limpet,nan,journalist
trip_310,Ed Helpsford,nan,journalist
trip_311,Carol Limpet,nan,journalist
trip_312,Simone Kat,nan,journalist
trip_313,Ed Helpsford,nan,journalist
trip_314,Seal,nan,journalist
trip_315,Simone Kat,nan,journalist
trip_316,Ed Helpsford,nan,journalist
trip_317,Simone Kat,nan,journalist
trip_318,Ed Helpsford,nan,journalist
trip_319,Seal,nan,journalist
trip_320,Seal,nan,journalist
trip_321,Ed Helpsford,nan,journalist
trip_322,Simone Kat,nan,journalist
trip_323,Carol Limpet,nan,journalist
trip_324,Ed Helpsford,nan,journalist
trip_325,Teddy Goldstein,nan,journalist
trip_326,Ed Helpsford,nan,journalist
trip_327,Simone Kat,nan,journalist
trip_328,Seal,nan,journalist
trip_329,Tante Titan,nan,journalist
trip_330,Tante Titan,nan,journalist
trip_331,Teddy Goldstein,nan,journalist
trip_332,Ed Helpsford,nan,journalist
trip_333,Tante Titan,nan,journalist
trip_334,Seal,nan,journalist
trip_335,Carol Limpet,nan,journalist
trip_336,Ed Helpsford,nan,journalist
trip_337,Seal,nan,journalist
trip_338,Simone Kat,nan,journalist
trip_339,Tante Titan,nan,journalist
trip_340,Teddy Goldstein,nan,journalist
trip_341,Seal,nan,journalist
