discussion_id,plan_id,status,source
deep_fishing_dock_Meeting_4_Recommendation_Discussion,deep_fishing_dock_Meeting_4_Recommendation,planned,government
deep_fishing_dock_Meeting_4_Findings_Report_Discussion,deep_fishing_dock_Meeting_4_Findings_Report,planned,government
concert_Meeting_16_Road_Closures_Discussion,concert_Meeting_16_Road_Closures,completed,government
name_harbor_area_Meeting_12_Public_Opinion_Discussion,name_harbor_area_Meeting_12_Public_Opinion,planned,government
affordable_housing_Meeting_7_Debate_Discussion,affordable_housing_Meeting_7_Debate,completed,government
fish_vacuum_Meeting_1_Introduction_Discussion,fish_vacuum_Meeting_1_Introduction,completed,government
low_volume_crane_Travel_Harbor_Route_Solutions_Discussion,low_volume_crane_Travel_Harbor_Route_Solutions,planned,government
new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion,new_crane_lomark_Meeting_5_Cost_Impact_Report,planned,government
deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion,deep_fishing_dock_Meeting_3_Maintenance_Plan,planned,government
statue_john_smoth_Meeting_8_Proposal_Discussion,statue_john_smoth_Meeting_8_Proposal,introduced,government
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,introduced,government
expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist,expanding_tourist_wharf_Travel_Harbor_Route_Solutions,completed,government
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,planned,government
deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion,deep_fishing_dock_Travel_High_Seas_Fishing_Inc,completed,government
new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping,planned,government
new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion,new_crane_lomark_Travel_Blue_Wave_Shipping,completed,government
fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation,planned,government
fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion,fish_vacuum_Travel_Bay_Harvest_Corporation,completed,government
low_volume_crane_Travel_Harbor_Builders_Discussion,low_volume_crane_Travel_Harbor_Builders,planned,government
low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co,planned,government
low_volume_crane_Travel_Harbor_Builders_Completed_Discussion,low_volume_crane_Travel_Harbor_Builders,completed,government
low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion,low_volume_crane_Travel_Haacklee_Assembly_Co,completed,government
affordable_housing_Travel_Waveside_Townhomes_Discussion,affordable_housing_Travel_Waveside_Townhomes,planned,government
renaming_park_himark_Travel_Himark_City_Hall_Discussion,renaming_park_himark_Travel_Himark_City_Hall,planned,government
renaming_park_himark_Meeting_5_Nominations_Discussion,renaming_park_himark_Meeting_5_Nominations,planned,government
renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion,renaming_park_himark_Travel_Himark_City_Hall,completed,government
name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion,name_inspection_office_Travel_Lomark_Civic_Plaza,completed,government
marine_life_deck_Meeting_10_Initial_Ideas_Discussion,marine_life_deck_Meeting_10_Initial_Ideas,completed,government
marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion,marine_life_deck_Travel_Tropics_Environmental_Hub,planned,government
marine_life_deck_Meeting_11_Feedback_Discussion,marine_life_deck_Meeting_11_Feedback,in_progress,government
marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion,marine_life_deck_Travel_Tropics_Environmental_Hub,completed,government
marine_life_deck_Meeting_12_Detailed_Proposal_Discussion,marine_life_deck_Meeting_12_Detailed_Proposal,completed,government
seafood_festival_Meeting_1_Discussion,seafood_festival_Meeting_1_Feasibility,completed,government
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,planned,government
seafood_festival_Meeting_2_Feedback_Discussion,seafood_festival_Meeting_2_Feedback,in_progress,government
seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion,seafood_festival_Travel_Dock_Roll_Hall_of_Fame,completed,government
seafood_festival_Meeting_3_Take_Action_Discussion,seafood_festival_Meeting_3_Take_Action,completed,government
heritage_walking_tour_Travel_Captain_Market_Discussion,heritage_walking_tour_Travel_Captain_Market,planned,government
heritage_walking_tour_Meeting_8_Proposal_Discussion,heritage_walking_tour_Meeting_8_Proposal,in_progress,government
heritage_walking_tour_Travel_Captain_Market_Completed_Discussion,heritage_walking_tour_Travel_Captain_Market,completed,government
heritage_walking_tour_Meeting_9_Report_Discussion,heritage_walking_tour_Meeting_9_Report,planned,government
heritage_walking_tour_Meeting_9_Take_Action_Discussion,heritage_walking_tour_Meeting_9_Take_Action,completed,government
waterfront_market_Travel_Harbor_Edge_Grill_Discussion,waterfront_market_Travel_Harbor_Edge_Grill,planned,government
waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion,waterfront_market_Travel_Harbor_Edge_Grill,completed,government
statue_john_smoth_Meeting_9_Gather_Feedback_Discussion,statue_john_smoth_Meeting_9_Feedback,introduced,journalist
statue_john_smoth_Travel_The_Bait_Stich_Completed_Discussion,statue_john_smoth_Travel_The_Bait_Stich,completed,journalist
statue_john_smoth_Meeting_10_Presentation_Discussion,statue_john_smoth_Meeting_10_Presentation,completed,journalist
renaming_park_himark_Travel_Anchor_Way_Grill_Discussion,renaming_park_himark_Travel_Anchor_Way_Grill,planned,journalist
renaming_park_himark_Travel_Sailors_Perch_Light_Discussion,renaming_park_himark_Travel_Sailors_Perch_Light,planned,journalist
renaming_park_himark_Travel_Anchor_Way_Grill_Completed_Discussion,renaming_park_himark_Travel_Anchor_Way_Grill,completed,journalist
renaming_park_himark_Travel_Sailors_Perch_Light_Completed_Discussion,renaming_park_himark_Travel_Sailors_Perch_Light,completed,journalist
renaming_park_himark_Meeting_8_Compile_Nominations_Discussion,renaming_park_himark_Meeting_8_Compile_Nominations,planned,journalist
renaming_park_himark_Meeting_7_Announce_Name_Discussion,renaming_park_himark_Meeting_7_Announce_Name,completed,journalist
renaming_park_himark_Meeting_7_Unveiling_Event_Discussion,renaming_park_himark_Meeting_7_Unveiling_Event,completed,journalist
name_harbor_area_Travel_The_Bait_Stich_Discussion,name_harbor_area_Travel_The_Bait_Stich,planned,journalist
name_harbor_area_Meeting_11_Draft_Names_Discussion,name_harbor_area_Meeting_11_Draft_Names,in_progress,journalist
name_harbor_area_Travel_The_Bait_Stich_Completed_Discussion,name_harbor_area_Travel_The_Bait_Stich,completed,journalist
name_harbor_area_Travel_Harbor_Odyssey_Tours_Completed_Discussion,name_harbor_area_Travel_Harbor_Odyssey_Tours,completed,journalist
name_harbor_area_Meeting_14_Finalize_Name_Discussion,name_harbor_area_Meeting_14_Finalize_Name,completed,journalist
name_inspection_office_Meeting_8_Proposal_Discussion,name_inspection_office_Meeting_8_Proposal,planned,journalist
name_inspection_office_Travel_Lomark_Civic_Plaza_Discussion,name_inspection_office_Travel_Lomark_Civic_Plaza,planned,journalist
name_inspection_office_Meeting_14_Announcement_Discussion,name_inspection_office_Meeting_14_Announcement,completed,journalist
seafood_festival_Meeting_3_Report_Discussion,seafood_festival_Meeting_3_Report,planned,journalist
waterfront_market_Meeting_7_Discussion,waterfront_market_Meeting_7_Benefits_Feasibility,completed,journalist
waterfront_market_Travel_Harborfront_Market_Discussion,waterfront_market_Travel_Harborfront_Market,planned,journalist
waterfront_market_Meeting_8_Gather_Feedback_Discussion,waterfront_market_Meeting_8_Gather_Feedback,in_progress,journalist
waterfront_market_Travel_Harborfront_Market_Completed_Discussion,waterfront_market_Travel_Harborfront_Market,completed,journalist
concert_Travel_Paakland_Elementary_Completed_Discussion,concert_Travel_Paakland_Elementary,completed,journalist
concert_Meeting_16_Feedback_Discussion,concert_Meeting_16_Feedback,completed,journalist
concert_Meeting_16_Communication_Complaints_Discussion,concert_Meeting_16_Communication_Complaints,completed,journalist
